filename,extracted_persons
2023-02-12_06_血脉相连 亲望亲好（观沧海）.md,"[{""name"": ""陈文成"", ""organization"": ""北京大学"", ""position"": ""北京大学台湾省籍体育教师""}, {""name"": ""曾芝颖"", ""organization"": ""北京大学"", ""position"": ""北京大学台湾省籍体育教师""}]"
2023-02-12_05_技术赋能教育 共享高校资源（深聚焦）.md,"[{""name"": ""彭刚"", ""organization"": ""北京大学"", ""position"": ""副校长""}]"
2023-02-13_19_揭开巴甫洛夫留下的百年之谜（新知）.md,"[{""name"": ""李毓龙"", ""organization"": ""北京大学"", ""position"": ""教授""}, {""name"": ""李毓龙"", ""organization"": ""北京大学"", ""position"": ""深圳湾实验室合作研究员""}]"
2023-02-18_08_何梁何利基金评选委员会通告.md,[]
2023-02-23_12_实证源远流长的中华文明（推进文化自信自强）.md,"[{""name"": ""王幼平"", ""organization"": ""北京大学考古文博学院"", ""position"": ""教授""}]"
2023-02-23_01_切实加强基础研究 夯实科技自立自强根基.md,[]
2023-02-25_05_“并肩守护地球家园的和平安宁”.md,[]
2023-02-26_01_人民健康水平显著提升.md,[]
2023-02-26_03_“中国科研国际影响力不断增强”.md,[]
2023-02-26_04_人民健康水平显著提升.md,[]
2023-02-27_12_甲流和诺如病毒感染如何预防（服务窗·科学防疫）.md,"[{""name"": ""王贵强"", ""organization"": ""北京大学第一医院感染疾病科主任"", ""position"": ""北京大学第一医院感染疾病科主任""}]"
2023-02-28_20_在继承中转化，在学习中超越（艺海观澜）.md,[]
2023-02-28_11_极不平凡的历程 来之不易的成果.md,[]
2023-03-02_07_培厚拔尖人才生长土壤（让更多基础研究人才竞相涌现）.md,[]
2023-03-04_10_寄语.md,"[{""name"": ""张颐武"", ""organization"": ""北京大学中文系教授"", ""position"": """"}]"
2023-03-06_13_两会好声音.md,"[{""name"": ""季加孚"", ""organization"": ""北京大学肿瘤医院"", ""position"": ""大外科主任、胃肠肿瘤中心主任""}]"
2023-03-06_02_在高质量发展上继续走在前列（我和总书记面对面）.md,[]
2023-03-10_14_以统一大市场建设为高质量发展提供支撑（有的放矢）.md,"[{""name"": ""王在全"", ""organization"": ""北京大学马克思主义学院"", ""position"": ""教授""}]"
2023-03-11_04_中国人民政治协商会议第十四届全国委员会副主席简历.md,[]
2023-03-11_03_第十四届全国人民代表大会常务委员会委员长赵乐际、中国人民政治协商会议第十四届全国委员会主席王沪宁、中.md,"[{""name"": ""韩正"", ""organization"": ""北京大学"", ""position"": ""北京大学国际问题研究所国际关系与世界经济专业毕业""}]"
2023-03-11_05_中国人民政治协商会议第十四届全国委员会副主席简历.md,[]
2023-03-12_04_同心筑梦启征程 万众一心开新局.md,[]
2023-03-13_01_团结奋进，创造新的伟业.md,[]
2023-03-13_13_如何治疗和预防甲流（服务窗·科学防疫）.md,"[{""name"": ""王贵强"", ""organization"": ""北京大学第一医院感染疾病科主任"", ""position"": """"}]"
2023-03-13_02_团结奋进，创造新的伟业.md,[]
2023-03-15_17_观察中国发展进步的重要窗口（外国青年走读中国）.md,[]
2023-03-16_19_学有所教，建设教育强国（新时代画卷）.md,[]
2023-03-20_13_建构中国自主的发展经济学知识体系（学术随笔）.md,"[{""name"": ""李稻葵"", ""organization"": ""北京大学光华管理学院"", ""position"": ""教授""}]"
2023-03-21_20_书写革命历史中的精神力量.md,"[{""name"": ""韩毓海"", ""organization"": ""北京大学"", ""position"": ""学者""}, {""name"": ""陈斓"", ""organization"": ""北京大学"", ""position"": ""学者""}]"
2023-03-26_04_厉以宁同志逝世.md,"[{""name"": ""厉以宁"", ""organization"": ""北京大学"", ""position"": ""北京大学哲学社会科学资深教授、光华管理学院名誉院长""}]"
2023-03-27_09_世界观、价值观、历史观、文明观、民主观、生态观（学术圆桌）.md,[]
2023-03-28_12_一眼千年，还原古建之美（解码·文化数字化）.md,[]
2023-03-28_18_大江健三郎文学译事略记（译者·书）.md,"[{""name"": ""大江健三郎"", ""organization"": ""北京大学"", ""position"": ""北京大学教授""}]"
2023-03-29_12_全国十大考古新发现揭晓（推进文化自信自强）.md,[]
2023-03-30_06_“共享中国式现代化蕴含的巨大发展机遇”（聚焦博鳌亚洲论坛2023年年会）.md,"[{""name"": ""林毅夫"", ""organization"": ""北京大学新结构经济学研究院"", ""position"": ""院长""}]"
2023-03-30_03_“共享中国式现代化蕴含的巨大发展机遇”（聚焦博鳌亚洲论坛2023年年会）.md,"[{""name"": ""林毅夫"", ""organization"": ""北京大学新结构经济学研究院"", ""position"": ""院长""}]"
2023-03-31_20_数字技术赋能公共文化服务（聚焦·文化数字化）.md,"[{""name"": ""王旭东"", ""organization"": ""北京大学"", ""position"": ""校长""}, {""name"": ""张大伟"", ""organization"": ""北京大学"", ""position"": ""副校长""}]"
2023-03-31_14_丰富临床选择 促进合理用药.md,[]
2023-03-31_03_共同维护全球产业链供应链安全稳定.md,[]
2023-04-01_07_解开一千八百年前铸铁成钢之谜（考古进行时）.md,[]
2023-04-04_12_文化服务上门 乡村旅游兴旺.md,"[{""name"": ""向勇"", ""organization"": ""北京大学"", ""position"": ""北京大学教授""}]"
2023-04-06_01_《习近平著作选读》第一卷主要篇目介绍.md,[]
2023-04-06_07_云端有个支教课堂.md,[]
2023-04-06_02_《习近平著作选读》第一卷主要篇目介绍.md,[]
2023-04-06_12_讲深、讲透、讲活“大思政课”（新语）.md,[]
2023-04-07_09_加快实现高水平科技自立自强（有的放矢）.md,[]
2023-04-07_11_基础研究，于无人处更进一步（一线调研·加强基础研究）.md,[]
2023-04-10_13_目标导向，牵引基础研究（一线调研·加强基础研究）.md,[]
2023-04-12_02_专利聚活力 经济添动力（坚定信心 开局起步）.md,[]
2023-04-12_13_中国大学创意写作联盟成立.md,[]
2023-04-15_03_携手实现地区持久安全与繁荣进步.md,"[{""name"": ""王旭"", ""organization"": ""北京大学南亚研究中心"", ""position"": ""常务副主任""}]"
2023-04-15_05_促进上市公司独立董事履好职.md,"[{""name"": ""蒋大兴"", ""organization"": ""北京大学法学院"", ""position"": ""教授""}]"
2023-04-17_19_一批青年才俊脱颖而出（科技视点）.md,[]
2023-04-19_19_市场信心就是生产力（市场漫步）.md,[]
2023-04-20_15_成都成就梦想 共赴青春之约.md,[]
2023-04-21_19_拓展社区养老服务功能（健康焦点）.md,"[{""name"": ""张雅璐"", ""organization"": ""北京大学人口研究所"", ""position"": ""研究员""}]"
2023-04-21_20_获取知识 启智增慧 培养道德.md,"[{""name"": ""袁行霈"", ""organization"": ""北京大学"", ""position"": ""教授""}]"
2023-04-23_05_逐梦沃野 绽放青春（深聚焦）.md,[]
2023-04-23_06_感受历史脉动 厚植家国情怀（香江在线）.md,"[{""name"": ""施锽霖"", ""organization"": ""北京大学"", ""position"": ""无""}, {""name"": ""麦谦诺"", ""organization"": ""北大红楼"", ""position"": ""无""}]"
2023-04-23_06_同根同源 血脉相连（观沧海）.md,"[{""name"": ""林彦辰"", ""organization"": ""北京大学国际关系学院"", ""position"": ""台湾省籍博士生""}, {""name"": ""柯顺泉"", ""organization"": ""北京大学国际关系学院"", ""position"": ""台湾省籍博士生""}]"
2023-04-24_02_“形成爱读书、读好书、善读书的浓厚氛围”.md,[]
2023-04-24_14_四十二种图书入选二〇二二年度“中国好书”.md,[]
2023-04-26_18_资讯速递.md,[]
2023-04-26_12_文学之旅走进武威.md,"[{""name"": ""林孜"", ""organization"": ""北京大学中文系"", ""position"": """"}]"
2023-04-27_02_践行全球文明倡议 推动文明交流互鉴.md,[]
2023-04-27_06_全球文明倡议学术研讨会举办.md,[]
2023-05-03_04_总书记的“青年观”.md,[]
2023-05-04_14_2021—2022学年度本专科生国家奖学金获奖学生代表名录.md,[]
2023-05-04_13_2021—2022学年度本专科生国家奖学金获奖学生代表名录.md,[]
2023-05-04_11_2021—2022学年度研究生国家奖学金获奖学生代表名录.md,[]
2023-05-04_04_创新方式方法 确保取得成效（学思想 强党性 重实践 建新功）.md,[]
2023-05-04_01_创新方式方法 确保取得成效（学思想 强党性 重实践 建新功）.md,[]
2023-05-04_20_让青年文艺工作者强起来（培养新时代文艺人才）.md,[]
2023-05-04_12_2021—2022学年度研究生国家奖学金获奖学生代表名录.md,[]
2023-05-05_09_中国特色社会主义法治体系更加完善.md,[]
2023-05-07_07_厚植友谊 促进合作.md,[]
2023-05-08_19_在数据科学领域不断发力（创新故事）.md,"[{""name"": ""陈松蹊"", ""organization"": ""北京大学数学科学学院"", ""position"": ""院士""}]"
2023-05-08_09_深化中国式现代化理论研究（构建中国特色哲学社会科学）.md,[]
2023-05-09_14_让校园体育拥有更多可能.md,[]
2023-05-09_03_继续落实“乙类乙管”各项措施（国务院联防联控机制发布会）.md,"[{""name"": ""王贵强"", ""organization"": ""北京大学第一医院感染疾病科"", ""position"": ""主任""}]"
2023-05-09_14_刘立新当选亚洲大体联主席.md,"[{""name"": ""刘立新"", ""organization"": ""北京大学"", ""position"": ""教育部学生体育协会联合秘书处秘书长、中国大学生体育协会副主席""}]"
2023-05-10_19_“既要吸引回头客，也要争取新客户”（体验·走近身边小商户·新时代·追梦人）.md,[]
2023-05-10_04_高校学科专业迈向分类发展特色发展（深阅读）.md,[]
2023-05-11_13_创新驱动 激发品牌活力（中国品牌日）.md,[]
2023-05-11_17_中欧政商学界人士呼吁加强中欧合作.md,"[{""name"": ""董志勇"", ""organization"": ""北京大学"", ""position"": ""副校长、经济学院院长""}]"
2023-05-12_02_加强护理工作者队伍建设 提升人民健康服务水平.md,[]
2023-05-13_07_揭示古老文化的生动面貌（考古中国）.md,"[{""name"": ""张敬国"", ""organization"": ""北京大学考古学专业毕业"", ""position"": ""凌家滩国家考古遗址公园考古领队""}]"
2023-05-15_09_新书评介.md,"[{""name"": ""孙熙国"", ""organization"": ""北京大学习近平新时代中国特色社会主义思想研究院"", ""position"": ""主编""}, {""name"": ""艾四林"", ""organization"": ""北京大学中国文化研究中心"", ""position"": ""主编""}]"
2023-05-15_09_更好认识和把握人类文明新形态（学术圆桌）.md,"[{""name"": ""傅小强"", ""organization"": ""北京大学"", ""position"": ""专家""}, {""name"": ""唐正东"", ""organization"": ""北京大学"", ""position"": ""专家""}]"
2023-05-15_18_董事责任险为何受到青睐（财经眼）.md,"[{""name"": ""董伟"", ""organization"": ""北京大学经济学院风险管理与保险学系"", ""position"": ""主任""}]"
2023-05-16_15_站上新赛道 书写新精彩（体坛观澜）.md,"[{""name"": ""丁宁"", ""organization"": ""北京大学体育教研部"", ""position"": ""硕士研究生""}]"
2023-05-16_12_绵阳 因科技而兴 因创新而盛.md,[]
2023-05-16_08_二〇二三中关村论坛将在京举办（权威发布）.md,[]
2023-05-17_07_数字孪生，让城市更“聪明”（大数据观察）.md,[]
2023-05-17_06_创新之城拔节生长.md,[]
2023-05-18_11_对新冠“二阳”感染相关问题进行解答（服务窗·科学防疫）.md,"[{""name"": ""王贵强"", ""organization"": ""北京大学第一医院感染疾病科"", ""position"": ""主任""}]"
2023-05-18_10_赓续经典 嘉惠学林（推进文化自信自强）.md,"[{""name"": ""汤一介"", ""organization"": ""北京大学《儒藏》编纂与研究中心"", ""position"": ""首席专家""}, {""name"": ""王博"", ""organization"": ""北京大学哲学系"", ""position"": ""教授,《儒藏》工程首席专家和项目负责人""}]"
2023-05-18_15_一场场比拼 一次次成长（竞技观察）.md,"[{""name"": ""赵继伟"", ""organization"": ""北京大学"", ""position"": ""辽宁队主力控卫""}, {""name"": ""程帅澎"", ""organization"": ""北京大学"", ""position"": ""浙江队主力后卫""}, {""name"": ""孙铭徽"", ""organization"": ""北京大学"", ""position"": ""广厦队后卫""}, {""name"": ""贺希宁"", ""organization"": ""北京大学"", ""position"": ""深圳队后卫""}, {""name"": ""崔永熙"", ""organization"": ""北京大学"", ""position"": ""广州队球员""}, {""name"": ""林葳"", ""organization"": ""北京大学"", ""position"": ""同曦队得分后卫""}]"
2023-05-21_08_与时代同频共振的艺术殿堂.md,[]
2023-05-22_02_学好用好权威教材 凝心铸魂汇聚力量.md,[]
2023-05-22_01_学好用好权威教材 凝心铸魂汇聚力量.md,[]
2023-05-23_12_我国自然指数贡献份额首次位居全球第一.md,[]
2023-05-25_13_“‘京’彩文化 青春绽放”行动在京启动.md,[]
2023-05-25_13_让文化馆成为终身美育学校（新语）.md,"[{""name"": ""李国新"", ""organization"": ""北京大学"", ""position"": ""教授""}]"
2023-05-27_05_攻克关键技术 增强能源供给.md,[]
2023-05-29_10_音乐剧《愚公移山》在京演出.md,[]
2023-05-29_10_激发教师队伍的创新活力.md,[]
2023-05-30_02_习近平总书记关心科技工作者的故事.md,[]
2023-05-30_20_把科学的种子播撒到孩子心田.md,[]
2023-05-30_05_以改革促进“三医”协同发展（大家谈·一起来想一起来干（17）·新时代新征程新伟业）.md,"[{""name"": ""李晓东"", ""organization"": ""北京大学第一医院"", ""position"": ""院长""}, {""name"": ""王立铭"", ""organization"": ""北京大学医学部"", ""position"": ""党委书记""}]"
2023-05-31_07_普惠托育，托举幸福童年（大数据观察）.md,[]
2023-05-31_07_第三届全国创新争先奖揭晓.md,[]
2023-06-01_13_国务院联防联控机制组织专家就新冠二次感染话题进行回应（服务窗·科学防疫）.md,"[{""name"": ""王贵强"", ""organization"": ""北京大学第一医院感染科主任"", ""position"": """"}]"
2023-06-01_01_为强国建设民族复兴注入不竭精神动力.md,[]
2023-06-01_02_为强国建设民族复兴注入不竭精神动力.md,[]
2023-06-02_14_北京国际科创中心建设跃上新台阶.md,[]
2023-06-02_08_从人口资源大国迈向人力资本强国（人口高质量发展支撑中国式现代化⑦）.md,"[{""name"": ""陆杰华"", ""organization"": ""北京大学社会学系"", ""position"": ""中国人口学会副会长""}]"
2023-06-03_02_担负起新的文化使命 努力建设中华民族现代文明.md,[]
2023-06-04_05_担负起新的文化使命 努力建设中华民族现代文明.md,"[{""name"": ""王博"", ""organization"": ""北京大学副校长、教授"", ""position"": ""北京大学""}]"
2023-06-04_03_赓续历史文脉 谱写当代华章.md,[]
2023-06-06_08_开展学习贯彻习近平新时代中国特色社会主义思想主题教育有关做法摘编（二）（学思想 强党性 重实践 建新.md,[]
2023-06-07_12_江西上饶举办书院文化交流大会.md,[]
2023-06-07_09_为中国式现代化提供智力支持（信息快递）.md,"[{""name"": ""郝平"", ""organization"": ""北京大学党委书记"", ""position"": """"}, {""name"": ""孙庆伟"", ""organization"": ""北京大学党委常委、副校长"", ""position"": """"}]"
2023-06-08_12_护平安高考 伴梦想启航.md,[]
2023-06-09_02_为强国建设、民族复兴注入强大精神力量.md,[]
2023-06-09_14_拓展岗位资源 匹配就业需求.md,[]
2023-06-11_06_教战融合助打赢（强军路上）.md,"[{""name"": ""叶林发"", ""organization"": ""北京大学"", ""position"": ""国防生""}, {""name"": ""叶林发"", ""organization"": ""北京大学"", ""position"": ""北京大学某演训中心主任""}]"
2023-06-11_04_奋斗青春 放飞梦想.md,"[{""name"": ""邹敬园"", ""organization"": ""北京大学"", ""position"": ""东京奥运会体操冠军""}, {""name"": ""杨凌"", ""organization"": ""北京大学"", ""position"": ""2001年北京大运会首棒火炬手""}, {""name"": ""于静"", ""organization"": ""北京大学"", ""position"": ""2009年哈尔滨大冬会首棒火炬手""}, {""name"": ""邢衍安"", ""organization"": ""北京大学"", ""position"": ""2011年深圳大运会首棒火炬手""}]"
2023-06-13_03_“不拘一格地选拔人才”.md,[]
2023-06-13_04_安徽抓牢创新型省份建设促高质量发展（高质量发展调研行）.md,[]
2023-06-14_13_积极参与献血 满足临床需求.md,"[{""name"": ""孙于谦"", ""organization"": ""北京大学人民医院"", ""position"": ""副主任医师""}]"
2023-06-14_06_从中华文明创新性看中华民族进取精神和无畏品格.md,[]
2023-06-16_19_医院药学服务，您了解吗？（健康焦点）.md,[]
2023-06-16_19_警惕髋关节撞击综合征（名医讲堂）.md,"[{""name"": ""张三"", ""organization"": ""北京大学人民医院"", ""position"": ""骨科主任""}, {""name"": ""李四"", ""organization"": ""北京大学第三医院"", ""position"": ""风湿免疫科主任""}]"
2023-06-16_07_打造全面建设社会主义现代化国家窗口.md,[]
2023-06-18_01_以奋斗姿态激扬青春.md,[]
2023-06-18_04_以奋斗姿态激扬青春.md,[]
2023-06-19_02_共创中华民族绵长福祉，共享民族复兴伟大荣光.md,"[{""name"": ""林彦辰"", ""organization"": ""北京大学"", ""position"": ""博士生""}]"
2023-06-19_09_社会主义市场经济本质上是法治经济（学术圆桌）.md,[]
2023-06-20_09_在大科学时代勇担使命（大家手笔）.md,[]
2023-06-21_11_规范人脸识别应用 护航个人信息安全（法治聚焦）.md,"[{""name"": ""薛军"", ""organization"": ""北京大学法学院"", ""position"": ""教授""}]"
2023-06-21_04_奋进复兴征程 书写青春新篇.md,"[{""name"": ""户国栋"", ""organization"": ""北京大学"", ""position"": ""团委书记""}]"
2023-06-21_04_加快建设中国特色世界一流大学（学思想 强党性 重实践 建新功）.md,"[{""name"": ""郝平"", ""organization"": ""北京大学党委书记"", ""position"": """"}, {""name"": ""龚旗煌"", ""organization"": ""北京大学校长"", ""position"": """"}]"
2023-06-24_04_激发经营主体活力 持续提振市场信心（推动经济实现质的有效提升和量的合理增长）.md,"[{""name"": ""联影医疗"", ""organization"": ""北京大学深圳研究生院"", ""position"": ""董事长""}]"
2023-06-26_18_持续做强养老“第三支柱”（财经眼·创新金融服务 助力“老有所养”（上））.md,[]
2023-06-26_20_老手艺也能火起来.md,"[{""name"": ""郎佳子彧"", ""organization"": ""北京大学"", ""position"": ""国家级非遗北京‘面人郎’第三代传承人""}]"
2023-06-27_15_大学生篮球联赛 前景广阔亮点多（竞技观察）.md,[]
2023-06-28_15_西部（重庆）科学城：探索人才机制改革 激发高质量发展潜能.md,"[{""name"": ""金凤实验室"", ""organization"": ""北京大学"", ""position"": """"}]"
2023-06-29_02_“让美中人民友谊茁壮成长，生生不息”.md,[]
2023-06-30_11_中国天眼发现纳赫兹引力波存在的关键性证据（科技自立自强）.md,[]
2023-07-02_02_全面提升医疗质量 提高群众满意度（政策解读）.md,"[{""name"": ""杨尹默"", ""organization"": ""北京大学第一医院"", ""position"": ""院长""}]"
2023-07-02_06_扩大两岸民间交流 深化两岸融合发展（两岸脉动）.md,[]
2023-07-02_01_用党的创新理论及时科学解答时代新课题.md,"[{""name"": ""王博"", ""organization"": ""北京大学"", ""position"": ""副校长""}]"
2023-07-02_02_用党的创新理论及时科学解答时代新课题.md,"[{""name"": ""王博"", ""organization"": ""北京大学"", ""position"": ""副校长""}]"
2023-07-03_20_大熊猫：可爱背后的生物学密码（开卷知新）.md,[]
2023-07-06_12_在原子世界“组装”新材料（科技自立自强·青年科学家）.md,[]
2023-07-07_17_鼓岭情缘代代传承.md,[]
2023-07-07_19_专家提示科学预防重点人群中暑（民生服务港）.md,"[{""name"": ""迟骋"", ""organization"": ""北京大学人民医院急诊科"", ""position"": ""副主任医师""}]"
2023-07-09_05_梦想在希望的田野上闪亮（青春派）.md,[]
2023-07-11_07_一片叶子带富一方百姓.md,[]
2023-07-11_12_让莫高精神代代相传（新语·让好声音成为最强音）.md,[]
2023-07-12_17_群星璀璨 心影传神.md,[]
2023-07-12_02_在新的历史起点上继续推动文化繁荣.md,"[{""name"": ""王博"", ""organization"": ""北京大学"", ""position"": ""副校长""}]"
2023-07-13_07_10名青年法学法律工作者获评“全国杰出青年法学家”称号.md,[]
2023-07-14_20_描绘美丽中国绿水青山画卷（序与跋）.md,"[{""name"": ""许智宏"", ""organization"": ""北京大学"", ""position"": ""中国科学院院士、北京大学生命科学学院教授""}]"
2023-07-14_13_樊锦诗从事敦煌文物工作60年座谈会召开.md,"[{""name"": ""樊锦诗"", ""organization"": ""北京大学"", ""position"": ""敦煌研究院名誉院长""}]"
2023-07-15_03_“搭建互信、合作、共赢的桥梁”.md,"[{""name"": ""林毅夫"", ""organization"": ""北京大学国家发展研究院名誉院长"", ""position"": """"}]"
2023-07-18_03_“共建‘一带一路’有效促进全球发展”.md,"[{""name"": ""林毅夫"", ""organization"": ""北京大学国家发展研究院"", ""position"": ""前副行长""}]"
